2.25	1.01	2.25
2.25	1.01	2.25
2.24964	1.01	2.25
2.24857	1.01	2.25
2.24678	1.01	2.25
2.24427	1.01	2.25
2.24106	1.01	2.25
2.23713	1.01	2.25
2.2325	1.01	2.25
2.22716	1.01	2.25
2.22111	1.01	2.25
2.21437	1.01	2.25
2.20694	1.01	2.25
2.19882	1.01	2.25
2.19001	1.01	2.25
2.18053	1.01	2.25
2.17037	1.01	2.25
2.15955	1.01	2.25
2.14807	1.01	2.25
2.13594	1.01	2.25
2.12316	1.01	2.25
2.10975	1.01	2.25
2.09571	1.01	2.25
2.08105	1.01	2.25
2.06579	1.01	2.25
2.04993	1.01	2.25
2.03347	1.01	2.25
2.01644	1.01	2.25
1.99884	1.01	2.25
1.98069	1.01	2.25
1.96199	1.01	2.25
1.94275	1.01	2.25
1.923	1.01	2.25
1.90274	1.01	2.25
1.88198	1.01	2.25
1.86074	1.01	2.25
1.83904	1.01	2.25
1.81687	1.01	2.25
1.79427	1.01	2.25
1.77124	1.01	2.25
1.7478	1.01	2.25
1.72397	1.01	2.25
1.69975	1.01	2.25
1.67516	1.01	2.25
1.65023	1.01	2.25
1.62496	1.01	2.25
1.59937	1.01	2.25
1.57348	1.01	2.25
1.54731	1.01	2.25
1.52087	1.01	2.25
1.49417	1.01	2.25
1.46724	1.01	2.25
1.44009	1.01	2.25
1.41274	1.01	2.25
1.38521	1.01	2.25
1.35751	1.01	2.25
1.32967	1.01	2.25
1.30169	1.01	2.25
1.2736	1.01	2.25
1.24542	1.01	2.25
1.21716	1.01	2.25
1.18884	1.01	2.25
1.16048	1.01	2.25
1.1321	1.01	2.25
1.10371	1.01	2.25
1.07534	1.01	2.25
1.047	1.01	2.25
1.0187	1.01	2.25
0.99048	1.01	2.25
0.962342	1.01	2.25
0.934307	1.01	2.25
0.906394	1.01	2.25
0.87862	1.01	2.25
0.851002	1.01	2.25
0.823559	1.01	2.25
0.796308	1.01	2.25
0.769267	1.01	2.25
0.742451	1.01	2.25
0.71588	1.01	2.25
0.689569	1.01	2.25
0.663535	1.01	2.25
0.637795	1.01	2.25
0.612365	1.01	2.25
0.587261	1.01	2.25
0.5625	1.01	2.25
0.538097	1.01	2.25
0.514068	1.01	2.25
0.490428	1.01	2.25
0.467192	1.01	2.25
0.444374	1.01	2.25
0.42199	1.01	2.25
0.400054	1.01	2.25
0.378579	1.01	2.25
0.357579	1.01	2.25
0.337068	1.01	2.25
0.317059	1.01	2.25
0.297564	1.01	2.25
0.278596	1.01	2.25
0.260167	1.01	2.25
0.242288	1.01	2.25
0.224972	1.01	2.25
0.208228	1.01	2.25
0.192069	1.01	2.25
0.176503	1.01	2.25
0.161541	1.01	2.25
0.147193	1.01	2.25
0.133467	1.01	2.25
0.120372	1.01	2.25
0.107918	1.01	2.25
0.0961103	1.01	2.25
0.0849581	1.01	2.25
0.0744682	1.01	2.25
0.0646471	1.01	2.25
0.0555012	1.01	2.25
0.0470362	1.01	2.25
0.0392576	1.01	2.25
0.0321702	1.01	2.25
0.0257787	1.01	2.25
0.020087	1.01	2.25
0.0150989	1.01	2.25
0.0108174	1.01	2.25
0.00724536	1.01	2.25
0.00438497	1.01	2.25
0.00223809	1.01	2.25
0.000806076	1.01	2.25
8.98401e-05	1.01	2.25
8.98401e-05	1.01	2.25
0.000806076	1.01	2.25
0.00223809	1.01	2.25
0.00438497	1.01	2.25
0.00724536	1.01	2.25
0.0108174	1.01	2.25
0.0150989	1.01	2.25
0.020087	1.01	2.25
0.0257787	1.01	2.25
0.0321702	1.01	2.25
0.0392576	1.01	2.25
0.0470362	1.01	2.25
0.0555012	1.01	2.25
0.0646471	1.01	2.25
0.0744682	1.01	2.25
0.0849581	1.01	2.25
0.0961103	1.01	2.25
0.107918	1.01	2.25
0.120372	1.01	2.25
0.133467	1.01	2.25
0.147193	1.01	2.25
0.161541	1.01	2.25
0.176503	1.01	2.25
0.192069	1.01	2.25
0.208228	1.01	2.25
0.224972	1.01	2.25
0.242288	1.01	2.25
0.260167	1.01	2.25
0.278596	1.01	2.25
0.297564	1.01	2.25
0.317059	1.01	2.25
0.337068	1.01	2.25
0.357579	1.01	2.25
0.378579	1.01	2.25
0.400054	1.01	2.25
0.42199	1.01	2.25
0.444374	1.01	2.25
0.467192	1.01	2.25
0.490428	1.01	2.25
0.514068	1.01	2.25
0.538097	1.01	2.25
0.5625	1.01	2.25
0.587261	1.01	2.25
0.612365	1.01	2.25
0.637795	1.01	2.25
0.663535	1.01	2.25
0.689569	1.01	2.25
0.71588	1.01	2.25
0.742451	1.01	2.25
0.769267	1.01	2.25
0.796308	1.01	2.25
0.823559	1.01	2.25
0.851002	1.01	2.25
0.87862	1.01	2.25
0.906394	1.01	2.25
0.934307	1.01	2.25
0.962342	1.01	2.25
0.99048	1.01	2.25
1.0187	1.01	2.25
1.047	1.01	2.25
1.07534	1.01	2.25
1.10371	1.01	2.25
1.1321	1.01	2.25
1.16048	1.01	2.25
1.18884	1.01	2.25
1.21716	1.01	2.25
1.24542	1.01	2.25
1.2736	1.01	2.25
1.30169	1.01	2.25
1.32967	1.01	2.25
1.35751	1.01	2.25
1.38521	1.01	2.25
1.41274	1.01	2.25
1.44009	1.01	2.25
1.46724	1.01	2.25
1.49417	1.01	2.25
1.52087	1.01	2.25
1.54731	1.01	2.25
1.57348	1.01	2.25
1.59937	1.01	2.25
1.62496	1.01	2.25
1.65023	1.01	2.25
1.67516	1.01	2.25
